20525,2405,69,156,165,115,62240,6297,0,59,0,151,18,661;;;;;;;;;;;;;;;;
19951,3286,114,206,286,236,54598,8229,14,177,214,286,19,661;;;;;;;;;;;;;;;;
1204487,243861,15758,5925,66654,17897,1600995,354434,13740,5327,59195,16529,68,662;;;;;;;;;;;;;;;;
20771,1927,285,168,408,432,58141,4467,169,127,567,364,23,664;;;;;;;;;;;;;;;;
598441,240574,6422,2543,17371,3393,997295,400974,6006,2055,16867,4832,49,665;;;;;;;;;;;;;;;;
738165,76782,7258,2706,19319,4950,1397104,121838,7130,2805,20484,4430,58,666;;;;;;;;;;;;;;;;
39016,5330,208,231,75,118,80773,11013,74,156,0,220,29,666;;;;;;;;;;;;;;;;
40181,4763,306,125,228,1038,83491,9813,280,85,242,1511,27,667;;;;;;;;;;;;;;;;
80349,5642,72,0,278,351,123540,8987,73,0,424,407,49,667;;;;;;;;;;;;;;;;
15111,1249,227,189,0,186,50119,3425,155,166,0,192,15,669;;;;;;;;;;;;;;;;
1044309,300793,10664,4057,33908,11999,1780261,485770,11170,3745,34352,14021,47,670;;;;;;;;;;;;;;;;
29426,4965,147,146,513,253,72395,12568,20,45,423,229,23,677;;;;;;;;;;;;;;;;
468368,140487,5972,1975,12087,1534,846756,245443,5828,1776,11844,2250,43,679;;;;;;;;;;;;;;;;
16628,786,184,166,159,30,51151,2787,89,83,62,107,17,680;;;;;;;;;;;;;;;;
20306,2831,206,113,122,0,51019,8591,124,57,0,0,20,683;;;;;;;;;;;;;;;;
609325,248389,10507,3633,29042,7108,868517,369214,9110,3082,25191,8055,62,684;;;;;;;;;;;;;;;;
611302,291921,6530,2440,21284,5537,1056795,487569,6419,2340,21962,4527,49,686;;;;;;;;;;;;;;;;
88351,12442,184,393,0,0,99781,15638,203,193,446,480,70,686;;;;;;;;;;;;;;;;
172801,10685,535,113,0,0,153420,9789,282,70,223,0,71,687;;;;;;;;;;;;;;;;
13725,1986,180,145,267,297,52581,6169,88,28,289,309,13,687;;;;;;;;;;;;;;;;
15937,2924,241,27,489,358,50801,8773,151,0,230,392,16,687;;;;;;;;;;;;;;;;
1032935,131658,14050,6309,15946,1891,1795035,211973,14811,6344,16483,1674,62,688;;;;;;;;;;;;;;;;
412089,107233,5722,2113,13660,2335,693874,168146,5125,2011,12470,3120,49,692;;;;;;;;;;;;;;;;
759160,270652,12137,4734,40910,8711,1090167,401187,10696,4162,37487,8190,68,693;;;;;;;;;;;;;;;;
17133,2739,266,143,313,396,56254,7672,185,141,109,464,16,693;;;;;;;;;;;;;;;;
67902,8163,247,175,203,208,162067,17697,124,86,180,234,26,696;;;;;;;;;;;;;;;;
36667,13783,217,398,212,237,61053,24279,66,175,236,419,26,698;;;;;;;;;;;;;;;;
913846,161169,9373,3845,29002,8107,1588890,249531,8684,3650,26095,8669,57,698;;;;;;;;;;;;;;;;
18080,5175,190,27,234,50,61881,14361,67,0,145,116,16,699;;;;;;;;;;;;;;;;
59925,1995,23,163,673,0,111815,3061,13,114,473,109,34,704;;;;;;;;;;;;;;;;
106452,8204,0,0,98,313,170145,14024,66,0,138,688,46,704;;;;;;;;;;;;;;;;
755051,122144,16466,7802,20793,0,1302052,191035,15567,7695,21885,437,62,706;;;;;;;;;;;;;;;;
179431,20111,313,74,669,333,252555,27059,194,199,330,428,60,707;;;;;;;;;;;;;;;;
1055492,172894,15755,5525,45280,12294,1513768,249242,14064,4610,42842,14035,57,710;;;;;;;;;;;;;;;;
35360,7618,0,219,255,199,65699,11589,28,103,145,351,29,710;;;;;;;;;;;;;;;;
28344,3473,177,90,0,87,58209,8934,124,76,0,120,27,710;;;;;;;;;;;;;;;;
708727,116934,8210,2724,22393,6678,1330379,193012,8158,2783,22411,8364,53,713;;;;;;;;;;;;;;;;
2287414,576887,40766,13971,100284,33167,2900271,828762,35054,11794,83571,27937,81,713;;;;;;;;;;;;;;;;
284537,79663,13372,6684,18117,2142,416385,116134,13340,6547,19031,3740,47,722;;;;;;;;;;;;;;;;
245808,80620,977,310,931,364,467554,143242,780,264,783,311,41,722;;;;;;;;;;;;;;;;
13038,5810,187,199,383,237,55043,28153,63,85,134,165,12,722;;;;;;;;;;;;;;;;
102348,65570,10,103,219,172,96043,72275,117,77,316,163,66,723;;;;;;;;;;;;;;;;
20926,4395,211,206,17,151,78070,12399,161,135,0,39,17,727;;;;;;;;;;;;;;;;
19160,3900,223,271,590,376,60898,10579,148,187,435,700,17,728;;;;;;;;;;;;;;;;
67101,4622,25,113,336,273,139027,8418,0,103,270,329,31,729;;;;;;;;;;;;;;;;
23952,1980,220,199,331,237,61462,5064,174,106,728,279,21,731;;;;;;;;;;;;;;;;
16609,1134,205,95,615,75,52249,2819,140,0,695,67,17,731;;;;;;;;;;;;;;;;
1103899,219899,19151,6737,50597,16350,1490425,295452,16664,6101,43703,15331,66,732;;;;;;;;;;;;;;;;
281647,18843,0,0,233,223,503395,31943,0,0,450,408,52,733;;;;;;;;;;;;;;;;
32952,1846,186,63,480,66,76254,4117,68,9,357,15,24,736;;;;;;;;;;;;;;;;
589142,102722,6142,2009,20028,5966,1082349,167698,5901,2081,19343,7369,48,736;;;;;;;;;;;;;;;;
16767,4389,211,107,626,489,70658,22316,133,72,683,845,15,736;;;;;;;;;;;;;;;;
1454113,204641,14250,5436,47115,15413,2659978,334402,15042,5404,50120,15773,58,738;;;;;;;;;;;;;;;;
24284,2390,120,157,222,172,56391,5295,49,33,90,181,23,740;;;;;;;;;;;;;;;;
19588,2509,117,15,394,169,54502,5553,25,0,344,385,19,741;;;;;;;;;;;;;;;;
13621,5531,197,106,500,282,50116,15082,161,21,444,414,14,742;;;;;;;;;;;;;;;;
595307,52307,6920,2745,6523,1668,1064911,82897,7506,2886,7285,1047,61,748;;;;;;;;;;;;;;;;
851425,153464,12161,3890,38107,14702,1090659,205813,10379,3507,31927,13053,69,750;;;;;;;;;;;;;;;;
148109,342081,819,401,519,0,236323,598416,527,347,549,0,41,751;;;;;;;;;;;;;;;;
31271,11519,244,249,284,172,55621,19878,99,195,232,203,30,756;;;;;;;;;;;;;;;;
23059,3980,273,203,532,120,60532,11808,197,121,589,281,20,756;;;;;;;;;;;;;;;;
93251,8787,107,456,309,0,206129,15687,107,241,173,92,36,760;;;;;;;;;;;;;;;;
418465,59841,5791,1865,18660,5440,697047,91689,5631,1568,19039,4821,51,765;;;;;;;;;;;;;;;;
831507,134696,10752,4489,33773,11126,1321516,188675,9149,3704,34136,9589,61,765;;;;;;;;;;;;;;;;
409099,79222,5971,2436,17573,4504,715331,128152,5242,2097,16165,5122,45,765;;;;;;;;;;;;;;;;
19346,1399,285,190,61,21,59879,3414,191,202,0,0,18,767;;;;;;;;;;;;;;;;
852505,111804,8047,3181,28558,9547,1541541,184288,8213,3233,30015,11873,56,773;;;;;;;;;;;;;;;;
659332,40196,5135,2474,12067,2616,1316095,64758,5157,2190,12689,2376,53,776;;;;;;;;;;;;;;;;
127264,23300,132,166,292,239,255005,40509,100,112,230,638,42,777;;;;;;;;;;;;;;;;
23407,3576,138,92,0,0,59667,8328,94,0,104,412,21,783;;;;;;;;;;;;;;;;
26798,5029,230,184,18,0,56674,11574,116,88,0,0,24,786;;;;;;;;;;;;;;;;
21147,4591,168,274,0,392,53856,13150,88,174,0,470,20,786;;;;;;;;;;;;;;;;
76819,9753,438,0,359,0,124681,17572,236,33,653,222,44,787;;;;;;;;;;;;;;;;
138510,21786,0,98,0,108,103712,15811,14,152,454,291,107,796;;;;;;;;;;;;;;;;
20213,2992,148,231,375,256,51868,8864,103,173,97,119,20,797;;;;;;;;;;;;;;;;
24253,3175,199,0,494,128,58040,10398,119,0,412,172,22,798;;;;;;;;;;;;;;;;
1414277,252686,16884,6543,60845,21574,2297028,427521,16725,6439,60551,24729,51,801;;;;;;;;;;;;;;;;
1041268,748940,14628,5030,39957,12778,1558028,1239189,13260,4487,36601,13101,59,802;;;;;;;;;;;;;;;;
16489,16378,376,172,710,163,63767,77768,362,71,579,248,15,802;;;;;;;;;;;;;;;;
15983,740,171,96,82,202,50599,2974,88,0,0,236,16,806;;;;;;;;;;;;;;;;
20575,1404,260,192,251,89,57595,3549,241,54,137,158,19,806;;;;;;;;;;;;;;;;
706159,124003,6453,2509,19461,7371,1276539,210230,6570,2528,19895,8857,59,807;;;;;;;;;;;;;;;;
23266,3063,294,51,294,291,51565,7526,242,39,494,273,24,807;;;;;;;;;;;;;;;;
15191,1866,184,99,305,13,50834,5927,163,7,254,62,16,809;;;;;;;;;;;;;;;;
1417598,324522,26240,10493,80763,27493,2185975,492223,24811,9877,76470,26759,63,811;;;;;;;;;;;;;;;;
668249,127267,8024,3433,24106,8303,1057775,195286,8152,3230,24966,8959,61,813;;;;;;;;;;;;;;;;
17906,2329,34,127,604,334,53059,5581,0,69,532,373,17,813;;;;;;;;;;;;;;;;
438535,69724,5544,2825,12757,2173,786686,112266,5943,2560,13563,4182,53,814;;;;;;;;;;;;;;;;
52581,8029,87,143,403,0,80294,9874,71,128,355,93,35,817;;;;;;;;;;;;;;;;
857193,181040,7958,2766,24153,5904,1503317,310242,8727,2898,24261,6367,46,821;;;;;;;;;;;;;;;;
29484,8521,252,233,558,541,175175,44960,263,157,836,1101,12,821;;;;;;;;;;;;;;;;
17697,1961,8,106,322,95,58929,5897,0,58,290,30,17,821;;;;;;;;;;;;;;;;
953379,133765,10594,3639,32754,10997,1684624,195438,9897,3359,34330,9996,70,824;;;;;;;;;;;;;;;;
21362,3726,157,254,183,30,56392,9870,120,152,139,26,20,824;;;;;;;;;;;;;;;;
22940,2282,63,334,234,342,62734,5408,32,263,162,422,21,827;;;;;;;;;;;;;;;;
1023364,363034,13465,5563,36335,12385,1143374,519649,9519,3621,23956,9346,86,828;;;;;;;;;;;;;;;;
102755,24937,162,33,608,253,220099,48911,143,51,344,266,42,833;;;;;;;;;;;;;;;;
22972,2282,133,103,536,104,56105,4823,163,3,531,46,22,835;;;;;;;;;;;;;;;;
883844,146395,9066,3713,24960,7835,1612733,230898,8822,3320,24980,10786,51,835;;;;;;;;;;;;;;;;
246951,43200,0,313,0,104,167382,34783,155,258,233,582,98,836;;;;;;;;;;;;;;;;
672889,128481,7289,2890,21669,10301,1147559,197938,6919,2538,20693,13054,60,838;;;;;;;;;;;;;;;;
29398,2244,247,175,103,145,64379,4501,158,118,139,144,28,839;;;;;;;;;;;;;;;;
428405,59191,7260,2584,18998,5727,718540,95473,6883,2279,17465,6521,48,841;;;;;;;;;;;;;;;;
18356,3720,449,354,436,372,90925,20015,900,448,1115,760,13,841;;;;;;;;;;;;;;;;
28439,7592,285,96,272,100,66781,16134,193,72,179,296,24,842;;;;;;;;;;;;;;;;
360272,58362,6054,2575,6198,0,600387,88432,5782,2260,6018,513,63,842;;;;;;;;;;;;;;;;
76511,74452,363,190,1183,566,133618,122474,325,162,1195,719,36,843;;;;;;;;;;;;;;;;
853324,103832,7990,3277,24061,7508,1432259,159500,7910,3109,23554,7165,59,845;;;;;;;;;;;;;;;;
25542,2134,68,268,406,120,51780,4783,35,171,454,279,24,850;;;;;;;;;;;;;;;;
24792,3277,160,28,134,183,79822,8729,53,0,0,493,19,857;;;;;;;;;;;;;;;;
184681,10083,214,0,270,9,339237,17651,185,0,559,415,58,863;;;;;;;;;;;;;;;;
23777,16070,200,178,283,111,50097,27854,89,43,193,61,24,864;;;;;;;;;;;;;;;;
22087,663,96,33,266,747,57255,1941,37,0,83,795,20,868;;;;;;;;;;;;;;;;
18871,1432,32,112,369,228,53588,3419,24,2,193,152,17,871;;;;;;;;;;;;;;;;
14888,4315,290,233,336,0,50896,11441,194,181,341,0,16,872;;;;;;;;;;;;;;;;
19758,3110,37,84,0,449,54974,9755,0,0,263,623,21,872;;;;;;;;;;;;;;;;
731075,126542,10353,3760,25982,6179,1122926,175017,9259,3184,25522,7531,59,877;;;;;;;;;;;;;;;;
1460505,348587,21750,8389,80378,25183,1948792,508120,19544,7261,71570,21387,72,879;;;;;;;;;;;;;;;;
406111,44347,5200,2018,13230,3961,686663,71955,4542,1587,14119,4068,49,879;;;;;;;;;;;;;;;;
32442,5545,336,272,322,237,87111,12912,240,142,258,619,22,879;;;;;;;;;;;;;;;;
21074,6311,206,216,86,223,66593,17368,109,92,129,400,17,884;;;;;;;;;;;;;;;;
15418,10384,126,110,248,169,53768,30586,24,0,0,224,15,884;;;;;;;;;;;;;;;;
17135,1716,186,203,419,0,50157,5361,63,75,271,0,17,885;;;;;;;;;;;;;;;;
374698,106069,4776,1987,10503,3917,603922,170282,4466,1930,11033,4219,58,888;;;;;;;;;;;;;;;;
406832,84623,6142,2083,17373,4564,631111,126628,5350,1944,17022,3565,53,890;;;;;;;;;;;;;;;;
856864,170745,11865,4443,37309,13559,1226070,246823,10439,3769,36564,13559,63,891;;;;;;;;;;;;;;;;
607404,131449,8132,3098,27677,8226,889737,188436,7243,2653,26288,8564,64,892;;;;;;;;;;;;;;;;
21303,1167,25,31,488,126,59351,2745,0,0,557,73,19,893;;;;;;;;;;;;;;;;
1214514,406313,14518,5392,34161,9388,1302211,411821,7643,3009,18900,5531,76,897;;;;;;;;;;;;;;;;
793644,178024,10840,4399,38974,13697,1143282,264706,9767,3810,35144,13022,62,897;;;;;;;;;;;;;;;;
25308,10916,32,0,374,134,62522,24503,14,0,346,99,23,898;;;;;;;;;;;;;;;;
534593,71366,7596,2846,22911,5384,872447,106162,6200,2404,22057,7186,63,899;;;;;;;;;;;;;;;;
18894,69831,247,159,286,0,61536,190502,141,167,211,0,17,900;;;;;;;;;;;;;;;;
860074,101915,8510,3187,27855,9834,1575558,160581,8684,3112,27456,12524,54,903;;;;;;;;;;;;;;;;
13361,1189,169,201,461,389,50508,5604,94,217,601,558,14,903;;;;;;;;;;;;;;;;
734446,189945,10334,3963,29060,9283,1084895,266641,9386,3643,27000,7515,64,907;;;;;;;;;;;;;;;;
27503,1220,162,153,287,78,58978,2102,66,151,86,95,27,908;;;;;;;;;;;;;;;;
1332539,108404,13765,5102,40111,11076,2453461,167421,13582,5324,42185,12700,52,910;;;;;;;;;;;;;;;;
698498,135814,8629,3125,24128,3059,1177746,214289,8375,2816,25663,3289,57,927;;;;;;;;;;;;;;;;
87409,35896,0,195,1087,52,165425,61877,99,206,870,391,49,931;;;;;;;;;;;;;;;;
108391,33758,510,434,289,1083,135436,40339,234,234,409,1031,59,932;;;;;;;;;;;;;;;;
1282708,232077,14672,5792,49644,14308,2279700,370538,15041,5555,50296,16540,56,937;;;;;;;;;;;;;;;;
493399,124139,6789,2760,15010,5230,919881,206217,7000,2788,14723,5384,56,942;;;;;;;;;;;;;;;;
958041,134161,10267,4139,30311,7610,1642520,203357,10381,4002,30648,10354,64,943;;;;;;;;;;;;;;;;
471252,83490,6803,2598,21676,8359,792853,129657,6268,2390,21482,10741,54,946;;;;;;;;;;;;;;;;
61939,28431,238,172,363,223,115142,56135,76,166,559,167,33,948;;;;;;;;;;;;;;;;
1140636,244627,17046,5806,44410,14983,1535531,380237,15160,5411,43291,13673,75,957;;;;;;;;;;;;;;;;
503317,103107,6525,2663,5938,254,873304,164958,6778,2872,6203,1881,60,959;;;;;;;;;;;;;;;;
545190,112295,61,286,497,236,966849,181871,69,233,334,288,54,964;;;;;;;;;;;;;;;;
25032,1753,141,80,485,243,50795,4113,89,0,294,156,25,964;;;;;;;;;;;;;;;;
27693,5199,87,159,223,149,55375,8040,0,86,100,163,24,964;;;;;;;;;;;;;;;;
25084,1796,305,93,372,89,61052,6487,202,24,270,220,23,964;;;;;;;;;;;;;;;;
47219,26514,0,39,377,226,74532,39589,76,51,387,225,36,965;;;;;;;;;;;;;;;;
18974,1729,273,71,442,242,57761,4314,156,0,382,218,17,966;;;;;;;;;;;;;;;;
498854,57231,6336,2190,5609,0,951507,93359,6540,2217,5985,774,45,966;;;;;;;;;;;;;;;;
29280,99242,825,262,460,200,58712,150804,538,211,227,258,27,967;;;;;;;;;;;;;;;;
49378,4723,248,266,435,782,104906,8415,300,191,714,952,29,969;;;;;;;;;;;;;;;;
154202,13347,372,42,605,6,302526,25757,249,7,487,122,39,974;;;;;;;;;;;;;;;;
18607,2732,13,365,233,305,52368,7310,0,269,110,313,18,974;;;;;;;;;;;;;;;;
57483,7291,276,0,0,0,120345,12604,155,68,0,335,30,975;;;;;;;;;;;;;;;;
997307,211210,12184,4545,37724,12204,1662294,312447,11794,4361,38368,13712,63,976;;;;;;;;;;;;;;;;
1352406,386264,18106,7286,64325,23871,1919171,579671,16698,6342,56615,22576,80,976;;;;;;;;;;;;;;;;
927190,207803,17183,6128,51090,18397,1164894,263298,13372,4923,44234,19316,70,977;;;;;;;;;;;;;;;;
22556,1732,69,21,114,0,53609,3439,0,0,246,0,20,981;;;;;;;;;;;;;;;;
30858,6141,288,54,461,146,58835,13069,169,65,400,208,26,982;;;;;;;;;;;;;;;;
36907,27381,183,71,1045,217,88728,53075,52,4,1085,250,24,982;;;;;;;;;;;;;;;;
543784,80613,8155,3533,6229,1295,1011613,136366,8651,3474,6769,1277,43,991;;;;;;;;;;;;;;;;
662114,76669,8035,2662,22103,4773,1114105,120127,7319,2749,20428,4892,55,998;;;;;;;;;;;;;;;;
19430,1791,184,221,203,97,53280,4235,68,228,32,185,19,1005;;;;;;;;;;;;;;;;
396005,79804,18755,8495,21951,1096,566201,113495,17465,7848,22842,2207,52,1015;;;;;;;;;;;;;;;;
26851,3790,202,0,87,248,57308,7299,121,0,0,298,26,1016;;;;;;;;;;;;;;;;
886847,171796,13273,4775,33876,9686,1240638,233692,11869,4011,30769,7595,62,1018;;;;;;;;;;;;;;;;
962164,70816,11295,4459,31829,11475,1761285,108774,11655,4324,31863,14053,52,1022;;;;;;;;;;;;;;;;
17238,1857,263,231,331,362,70142,9668,435,249,1013,846,13,1022;;;;;;;;;;;;;;;;
358490,60568,5727,2049,10397,4271,614227,90285,5161,2004,10658,4130,56,1022;;;;;;;;;;;;;;;;
832479,277938,7962,3065,23014,6619,1591981,468593,7888,2933,25504,10619,56,1024;;;;;;;;;;;;;;;;
334059,23639,6048,2110,5172,375,593575,39113,5678,2014,5742,1031,44,1026;;;;;;;;;;;;;;;;
13761,1109,186,143,408,162,57939,5032,201,0,482,241,12,1026;;;;;;;;;;;;;;;;
517744,118816,7513,3324,5802,49,873117,181877,7141,3141,6060,289,55,1026;;;;;;;;;;;;;;;;
477536,187766,5775,2060,12674,5810,831341,313053,5150,1956,13704,5444,51,1027;;;;;;;;;;;;;;;;
643370,66958,7047,2586,14290,4203,1271158,112526,7687,2637,13930,5724,48,1029;;;;;;;;;;;;;;;;
588001,118165,7487,2642,17027,3621,925390,179196,7032,2496,16899,4797,60,1032;;;;;;;;;;;;;;;;
513001,68381,7648,3051,6863,311,838880,103097,7025,2754,6360,731,51,1034;;;;;;;;;;;;;;;;
23989,2359,129,281,524,125,54306,5538,172,156,518,287,28,1036;;;;;;;;;;;;;;;;
22861,1879,333,160,615,0,52332,4216,210,79,580,40,22,1038;;;;;;;;;;;;;;;;
1174680,162620,14311,5260,40884,8914,1900505,251657,14325,5027,38086,9257,63,1040;;;;;;;;;;;;;;;;
1128585,163148,12698,5592,40996,15352,1960773,254799,12480,4992,39902,18306,57,1043;;;;;;;;;;;;;;;;
14074,2264,175,260,646,81,68721,14725,104,203,1055,511,12,1043;;;;;;;;;;;;;;;;
54131,5014,300,333,438,199,105286,9896,197,207,654,158,30,1046;;;;;;;;;;;;;;;;
615404,92479,7318,3131,22009,6469,1011155,134034,6812,2703,20951,6646,59,1049;;;;;;;;;;;;;;;;
102066,17165,230,586,0,50,64242,13880,173,209,477,317,99,1050;;;;;;;;;;;;;;;;
646109,112683,6203,2392,17821,4964,1336196,185564,6524,2367,18049,5719,50,1060;;;;;;;;;;;;;;;;
499625,38527,7094,2783,7096,0,893170,64401,7544,2817,6650,265,60,1063;;;;;;;;;;;;;;;;
142649,8879,16,231,475,216,130297,6503,74,228,643,193,69,1070;;;;;;;;;;;;;;;;
426294,99601,5240,2356,15914,5134,763902,162263,4911,2186,15056,7552,53,1070;;;;;;;;;;;;;;;;
992044,75508,10152,3656,23316,9898,1819725,118836,10084,3628,25924,11540,55,1071;;;;;;;;;;;;;;;;
1045396,266442,10454,4025,36506,13130,1765044,435152,10621,3835,36771,16137,61,1072;;;;;;;;;;;;;;;;
124824,10640,202,156,497,262,231968,18658,91,73,290,176,41,1072;;;;;;;;;;;;;;;;
21280,5445,178,80,294,475,56607,13444,75,0,191,721,20,1073;;;;;;;;;;;;;;;;
790702,137134,9591,3248,24194,5754,1399278,222045,9502,3438,25921,7749,53,1074;;;;;;;;;;;;;;;;
24787,1904,122,125,383,166,75617,4947,4,19,172,119,18,1074;;;;;;;;;;;;;;;;
31294,12616,254,256,256,216,56902,30760,146,171,487,210,22,1075;;;;;;;;;;;;;;;;
28305,11387,66,110,441,223,56295,27327,47,19,218,242,26,1075;;;;;;;;;;;;;;;;
912012,144980,8658,3196,23748,9552,1681728,234157,8658,3214,24730,10917,57,1078;;;;;;;;;;;;;;;;
98950,36407,267,0,521,512,213058,69088,136,40,269,384,34,1080;;;;;;;;;;;;;;;;
688083,75450,7511,2834,21554,5668,1251684,118343,7477,2710,23383,6924,53,1083;;;;;;;;;;;;;;;;
1156757,192821,14411,5289,42450,15214,1829597,276710,13009,4635,41162,16857,64,1088;;;;;;;;;;;;;;;;
548516,87596,8266,3222,24808,8405,853951,126202,7532,2859,23137,9289,57,1089;;;;;;;;;;;;;;;;
80017,8193,313,113,414,228,160243,16159,205,18,247,91,31,1089;;;;;;;;;;;;;;;;
23294,2794,111,0,0,236,50229,6428,86,0,113,233,22,1094;;;;;;;;;;;;;;;;
958833,376211,4653,2493,89530,27155,1356892,581441,4463,1901,76387,26444,69,1094;;;;;;;;;;;;;;;;
1035092,218863,15563,5378,47515,14902,1496268,345368,13960,4858,44914,14404,56,1097;;;;;;;;;;;;;;;;
984112,156533,12630,4322,37259,8649,1558310,228526,11714,3984,34516,7872,55,1099;;;;;;;;;;;;;;;;
16099,3506,354,143,463,206,58941,16311,587,195,332,151,15,1099;;;;;;;;;;;;;;;;
56762,4955,349,293,435,20,131843,9559,252,225,320,324,29,1106;;;;;;;;;;;;;;;;
737950,120794,16950,7466,22109,700,1199453,187958,16862,7189,21436,1524,56,1125;;;;;;;;;;;;;;;;
745797,253542,9632,3669,33681,12145,1089926,375414,8853,3401,33204,10609,63,1126;;;;;;;;;;;;;;;;
40255,4364,34,0,306,219,62188,8394,8,0,282,296,33,1131;;;;;;;;;;;;;;;;
63917,13373,147,280,95,372,132066,26278,189,153,413,588,32,1135;;;;;;;;;;;;;;;;
128203,52354,510,336,381,0,243160,90377,295,271,682,287,44,1136;;;;;;;;;;;;;;;;
599317,178599,5770,2577,18824,4151,1110218,289216,6214,2341,18565,5187,56,1139;;;;;;;;;;;;;;;;
733122,129628,13612,5275,34728,10884,1077413,181335,11904,4352,29622,9148,55,1143;;;;;;;;;;;;;;;;
36697,4306,272,424,424,342,76193,6043,235,268,856,186,31,1143;;;;;;;;;;;;;;;;
22127,18717,174,163,162,101,51022,47799,94,57,152,24,21,1144;;;;;;;;;;;;;;;;
1378257,208682,16916,6348,60220,17585,1994376,300781,15358,5597,55307,19077,68,1145;;;;;;;;;;;;;;;;
48210,39478,89,254,7,138,111618,83058,47,153,10,328,25,1146;;;;;;;;;;;;;;;;
47934,5081,168,280,280,211,105744,10365,44,159,377,131,28,1148;;;;;;;;;;;;;;;;
792741,166388,9270,3734,28793,9901,1304217,256709,8030,3363,27888,10352,64,1151;;;;;;;;;;;;;;;;
24675,10686,180,140,187,137,55486,24251,86,89,40,236,23,1152;;;;;;;;;;;;;;;;
32681,5505,133,206,529,152,75209,11655,52,170,652,214,25,1154;;;;;;;;;;;;;;;;
1059362,240652,16048,5792,43839,13951,1598462,372952,14643,5659,41190,16683,64,1156;;;;;;;;;;;;;;;;
531385,170117,14267,6286,15870,1099,701046,242240,12937,6113,14543,1792,64,1159;;;;;;;;;;;;;;;;
503853,42063,8240,3866,10821,2422,1013702,70131,8948,3862,11707,2771,43,1161;;;;;;;;;;;;;;;;
21713,2587,316,304,474,92,107855,13747,319,259,559,430,13,1161;;;;;;;;;;;;;;;;
158490,17609,4068,2009,4341,1290,292174,22962,3957,1701,4943,1830,50,1165;;;;;;;;;;;;;;;;
515595,112606,6758,2545,16653,8334,823327,181831,6537,2462,16872,9208,52,1168;;;;;;;;;;;;;;;;
658876,297690,8045,3133,8342,2110,1070951,474705,7497,2922,8423,2017,62,1170;;;;;;;;;;;;;;;;
271432,33463,7344,3610,11169,2062,463183,49850,6413,3521,10514,3653,58,1172;;;;;;;;;;;;;;;;
562082,72962,6943,2877,21810,2943,884633,109348,6435,2396,21266,3545,56,1174;;;;;;;;;;;;;;;;
598550,51282,6258,2307,18301,6571,1159865,77678,6028,2308,18544,6344,53,1174;;;;;;;;;;;;;;;;
822708,93195,7818,2990,22626,7744,1517535,145267,7337,2931,23153,9145,58,1180;;;;;;;;;;;;;;;;
33105,3969,4,278,579,0,60232,8038,25,172,606,0,29,1180;;;;;;;;;;;;;;;;
24082,1914,62,99,297,430,61695,3750,0,90,93,378,21,1180;;;;;;;;;;;;;;;;
305466,58477,16393,6954,14465,1020,397280,83915,14905,6240,13075,2319,54,1182;;;;;;;;;;;;;;;;
26358,9771,13,251,413,98,56054,21311,69,120,383,230,23,1187;;;;;;;;;;;;;;;;
39978,8949,168,278,367,282,93269,18698,70,182,291,200,25,1189;;;;;;;;;;;;;;;;
18997,535,95,116,555,64,68451,2051,0,19,548,242,16,1189;;;;;;;;;;;;;;;;
170351,64194,386,481,206,622,345775,117694,345,319,119,686,37,1190;;;;;;;;;;;;;;;;
1026717,154199,12689,4942,41513,12564,1679066,230517,12438,4637,39578,13760,57,1191;;;;;;;;;;;;;;;;
130695,34398,153,212,503,493,283532,66791,106,92,501,626,32,1192;;;;;;;;;;;;;;;;
554847,143542,5520,2827,5388,1316,1096057,244559,6209,2439,5636,1343,51,1195;;;;;;;;;;;;;;;;
300835,58875,11432,5213,12255,399,489448,86165,11490,4955,12604,1056,57,1197;;;;;;;;;;;;;;;;
813098,148085,7492,2904,21275,7101,1650905,254121,8036,3025,22058,9748,47,1199;;;;;;;;;;;;;;;;
915231,114300,11234,4092,35783,13323,1424620,161203,10798,3975,36758,13827,61,1203;;;;;;;;;;;;;;;;
18407,1532,275,266,674,71,52686,4709,226,194,625,121,18,1203;;;;;;;;;;;;;;;;
1254265,170466,12783,4760,33917,9615,2233391,280806,12477,4602,34584,12030,56,1204;;;;;;;;;;;;;;;;
21577,30282,297,268,25,199,51178,71489,271,250,71,414,21,1205;;;;;;;;;;;;;;;;
536796,76023,8132,3151,24484,7118,867672,114749,7287,3014,23907,8907,52,1209;;;;;;;;;;;;;;;;
392383,80448,4840,2119,17630,5544,589642,119920,4531,1845,17273,5140,51,1213;;;;;;;;;;;;;;;;
895182,185236,11347,4395,35676,13839,1390473,279402,10639,3747,33078,13191,57,1214;;;;;;;;;;;;;;;;
25964,5045,279,193,724,711,156219,29536,370,126,941,1128,12,1214;;;;;;;;;;;;;;;;
630162,78376,5682,2434,16080,5606,1253052,127320,5553,2561,17630,6513,55,1214;;;;;;;;;;;;;;;;
753695,122635,9468,3540,21849,6503,1371430,195918,9768,3342,21986,7573,56,1214;;;;;;;;;;;;;;;;
698638,154858,10346,3439,34249,13474,1031163,238003,9219,3141,33894,15427,54,1218;;;;;;;;;;;;;;;;
74368,658221,473,212,309,492,136746,1270938,295,187,334,420,33,1220;;;;;;;;;;;;;;;;
745122,268598,4255,1848,60849,17105,1117442,428745,3842,1725,54373,14393,51,1223;;;;;;;;;;;;;;;;
